surfline_spot_id,name,timestamp,avg_height,swell1_height,swell1_period,swell1_direction,swell1_is_favorable_direction,swell2_height,swell2_period,swell2_direction,swell2_is_favorable_direction,swell3_height,swell3_period,swell3_direction,swell3_is_favorable_direction,swell4_height,swell4_period,swell4_direction,swell4_is_favorable_direction,swell5_height,swell5_period,swell5_direction,swell5_is_favorable_direction,swell6_height,swell6_period,swell6_direction,swell6_is_favorable_direction
5842041f4e65fad6a770893f,Leo Carillo,2020-03-14 00:00:22.844174,3.5,0.98,6,227.81,Y,2.36,15,182.81,Y,0.72,6,184.22,Y,0.75,11,189.84,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-14 00:00:22.844174,3.5,2.4,15,185.63,Y,0.98,6,227.81,Y,0.66,6,188.44,Y,0.85,11,192.66,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-14 00:00:22.844174,3.5,1.64,7,233.44,Y,2.03,15,192.66,Y,0.72,12,288.28,Y,0.95,11,195.47,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-14 00:00:22.844174,4.25,6.2,10,312.19,Y,1.31,15,292.5,N,2.59,16,182.81,Y,0,0,0,N,0.69,11,187.03,Y,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-14 00:00:22.844174,3.5,1.67,7,233.44,N,2.3,15,191.25,N,0,0,0,N,0.98,11,195.47,N,0.82,12,289.69,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-14 00:00:22.844174,3.5,0.3,6,212.34,N,0.3,6,282.66,N,0.49,11,282.66,N,0.69,15,185.63,Y,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-14 00:00:22.844174,4.25,2.79,15,180,Y,0.69,5,180,Y,0.79,11,189.84,Y,0.2,12,274.22,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-14 16:00:18.142752,2.5,2.17,14,181.41,Y,0.59,4,244.69,Y,0.59,10,191.25,N,0.62,14,225,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-14 16:00:18.142752,2.5,2.23,14,187.03,Y,0.3,14,279.84,N,0.72,10,192.66,N,0.56,4,264.38,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-14 16:00:18.142752,3.0,0.89,5,227.81,Y,1.97,14,191.25,Y,0.75,10,195.47,Y,0.69,10,291.09,Y,0,0,0,N,0,0,0,N
