surfline_spot_id,name,favorable_swells,timestamp,am_min_height,am_max_height,pm_min_height,pm_max_height,swell1_height,swell1_period,swell1_direction,swell2_height,swell2_period,swell2_direction,swell3_height,swell3_period,swell3_direction,swell4_height,swell4_period,swell4_direction,swell5_height,swell5_period,swell5_direction,swell6_height,swell6_period,swell6_direction
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-14 00:00:22.844174,3,4,3,4,0.98,6,227.81,2.36,15,182.81,0.72,6,184.22,0.75,11,189.84,0,0,0,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-14 00:00:22.844174,3,4,3,4,2.4,15,185.63,0.98,6,227.81,0.66,6,188.44,0.85,11,192.66,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-14 00:00:22.844174,3,4,3,4,1.64,7,233.44,2.03,15,192.66,0.72,12,288.28,0.95,11,195.47,0,0,0,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-14 00:00:22.844174,3,5,4,5,6.2,10,312.19,1.31,15,292.5,2.59,16,182.81,0,0,0,0.69,11,187.03,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-14 00:00:22.844174,3,4,3,4,1.67,7,233.44,2.3,15,191.25,0,0,0,0.98,11,195.47,0.82,12,289.69,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-14 00:00:22.844174,3,4,3,4,0.3,6,212.34,0.3,6,282.66,0.49,11,282.66,0.69,15,185.63,0,0,0,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-14 00:00:22.844174,4,5,3,5,2.79,15,180,0.69,5,180,0.79,11,189.84,0.2,12,274.22,0,0,0,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-14 16:00:18.142752,2,3,2,3,2.17,14,181.41,0.59,4,244.69,0.59,10,191.25,0.62,14,225,0,0,0,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-14 16:00:18.142752,2,3,2,3,2.23,14,187.03,0.3,14,279.84,0.72,10,192.66,0.56,4,264.38,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-14 16:00:18.142752,3,4,2,3,0.89,5,227.81,1.97,14,191.25,0.75,10,195.47,0.69,10,291.09,0,0,0,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-14 16:00:18.142752,3,4,3,4,7.41,10,307.97,0.89,4,182.81,2.59,14,184.22,0.49,10,180,0,0,0,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-14 16:00:18.142752,3,4,2,3,0.95,4,229.22,0.79,10,195.47,2.17,14,189.84,0.75,10,293.91,0,0,0,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-14 16:00:18.142752,2,3,2,3,0.69,5,275.63,0.59,14,185.63,0.3,10,282.66,0,0,0,0.59,14,282.66,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-14 16:00:18.142752,3,4,3,4,2.49,14,181.41,0.3,5,275.63,0.2,4,188.44,0.59,10,191.25,0,0,0,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-15 00:00:32.833329,2,3,2,3,0.59,4,244.69,0.59,10,191.25,2.17,14,181.41,0.62,14,225,0,0,0,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-15 00:00:32.833329,2,3,2,3,0.56,4,264.38,2.23,14,187.03,0.72,10,192.66,0.3,14,279.84,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-15 00:00:32.833329,3,4,2,3,0.89,5,227.81,1.97,14,191.25,0.75,10,195.47,0.69,10,291.09,0,0,0,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-15 00:00:32.833329,3,4,3,4,7.41,10,307.97,0.89,4,182.81,2.59,14,184.22,0.49,10,180,0,0,0,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-15 00:00:32.833329,3,4,2,3,0.95,4,229.22,2.17,14,189.84,0.79,10,195.47,0.75,10,293.91,0,0,0,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-15 00:00:32.833329,2,3,2,3,0.59,14,185.63,0.59,14,282.66,0.69,5,275.63,0.3,10,282.66,0,0,0,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-15 00:00:32.833329,3,4,3,4,2.49,14,181.41,0.59,10,191.25,0.3,5,275.63,0,0,0,0.2,4,188.44,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-15 16:00:33.912656,2,3,2,3,0.66,5,244.69,0.72,6,284.06,1.77,12,182.81,0,0,0,0.49,14,223.59,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-15 16:00:33.912656,2,3,2,3,0.75,5,251.72,1.84,12,187.03,0.49,16,201.09,0.3,7,285.47,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-15 16:00:33.912656,2,3,2,3,0.59,14,222.19,1.41,12,185.63,1.35,6,275.63,0.62,9,196.88,0,0,0,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-15 16:00:33.912656,3,4,3,4,5.81,9,306.56,2.69,5,251.72,2.1,14,185.63,2.69,4,209.53,0,0,0,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-15 16:00:33.912656,2,3,2,3,1.67,12,189.84,0.62,9,195.47,0,0,0,1.21,6,271.41,0.69,10,299.53,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-15 16:00:33.912656,2,3,2,3,0.49,12,184.22,0.89,6,275.63,0.49,12,282.66,0.2,16,205.31,0,0,0,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-15 16:00:33.912656,2,3,2,3,1.9,12,181.41,0,0,0,0,0,0,0.59,6,272.81,0.39,16,188.44,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-16 00:02:35.415082,2,3,2,3,0.66,5,244.69,0,0,0,1.77,12,182.81,0.72,6,284.06,0.49,14,223.59,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-16 00:02:35.415082,2,3,2,3,0.49,16,201.09,1.84,12,187.03,0.75,5,251.72,0.3,7,285.47,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-16 00:02:35.415082,2,3,2,3,0.59,14,222.19,1.41,12,185.63,1.35,6,275.63,0.62,9,196.88,0,0,0,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-16 00:02:35.415082,3,4,3,4,5.81,9,306.56,2.69,5,251.72,2.69,4,209.53,2.1,14,185.63,0,0,0,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-16 00:02:35.415082,2,3,2,3,1.67,12,189.84,1.21,6,271.41,0.62,9,195.47,0.69,10,299.53,0,0,0,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-16 00:02:35.415082,2,3,2,3,0.49,12,184.22,0.89,6,275.63,0.49,12,282.66,0.2,16,205.31,0,0,0,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-16 00:02:35.415082,2,3,2,3,0,0,0,1.9,12,181.41,0,0,0,0.59,6,272.81,0.39,16,188.44,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-16 16:00:47.007045,2,3,2,3,0.52,15,187.03,0.59,15,225,1.38,12,182.81,0.66,6,284.06,0,0,0,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-16 16:00:47.007045,2,3,2,3,0.36,4,261.56,0.33,6,285.47,1.38,12,185.63,0.75,15,206.72,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-16 16:00:47.007045,2,3,2,3,0.85,6,277.03,0.79,15,213.75,1.28,12,189.84,0,0,0,0.66,14,284.06,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-22 16:00:24.603772,2,3,2,3,1.38,12,195.47,0.79,6,265.78,0.72,18,205.31,0.3,8,286.88,0,0,0,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-22 16:00:24.603772,2,3,2,3,0.2,6,271.41,0,0,0,0.39,12,195.47,0.2,8,279.84,0.2,20,196.88,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-22 16:00:24.603772,2,3,3,4,0.69,20,185.63,0.3,6,271.41,1.21,12,187.03,0,0,0,0,0,0,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-24 00:01:14.646091,2,3,2,3,0.92,11,188.44,2.13,7,241.88,1.54,16,192.66,1.35,4,195.47,0,0,0,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-24 00:01:14.646091,2,3,2,3,2.13,7,244.69,1.64,16,194.06,1.21,4,199.69,1.21,11,196.88,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-24 00:01:14.646091,3,4,3,4,1.21,11,199.69,2.53,8,248.91,1.74,16,199.69,0,0,0,0.33,18,286.88,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-24 00:01:14.646091,4,5,3,5,2.4,8,319.22,2.59,16,295.31,2.2,7,205.31,0,0,0,1.41,18,188.44,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-24 00:01:14.646091,3,4,3,4,2.66,8,250.31,1.87,16,202.5,1.25,11,199.69,0.36,18,281.25,0,0,0,0,0,0
584204204e65fad6a77096b1,Ventura Point,"{S,SW,W,NW}",2020-03-24 00:01:14.646091,2,3,2,3,0.59,4,171.56,0.59,16,198.28,0,0,0,0.59,8,270,0.49,6,212.34,0,0,0
5977abb3b38c2300127471ec,HB Pier Southside,"{S,SSE,SW,W,WNW}",2020-03-24 00:01:14.646091,3,4,3,4,1.61,16,188.44,0.69,3,185.63,0.98,11,188.44,0.49,8,270,0,0,0,0,0,0
5842041f4e65fad6a770893f,Leo Carillo,"{SSE,S,SW,WSW}",2020-03-26 00:00:42.668442,2,3,1,2,1.08,4,254.53,1.12,5,236.25,1.74,14,199.69,1.38,4,281.25,0,0,0,0,0,0
584204214e65fad6a7709b9f,Malibu First Point,"{S,SW,WSW}",2020-03-26 00:00:42.668442,2,3,1,2,2,5,253.13,0.46,2,250.31,1.9,14,199.69,0.43,14,281.25,0,0,0,0,0,0
5842041f4e65fad6a770883c,Windansea,"{NW,WNW,SW,SSW}",2020-03-26 00:00:42.668442,2,3,3,4,1.51,6,253.13,1.97,14,203.91,1.15,3,288.28,0,0,0,0.98,14,288.28,0,0,0
5842041f4e65fad6a7708805,Steamer Lane,"{W,S,NW}",2020-03-26 00:00:42.668442,3,5,3,4,1.61,7,317.81,3.9,12,306.56,1.41,4,274.22,1.9,14,202.5,0,0,0,0,0,0
5842041f4e65fad6a7708840,Sunset Cliffs,"{W,NW}",2020-03-26 00:00:42.668442,2,3,3,4,1.15,3,291.09,1.54,6,253.13,2.03,14,202.5,0,0,0,1.08,14,288.28,0,0,0
